20372350.807270307,6475434.7875933507,60757850,107,80,09-15-16,"14:54:43,00",58.377543699999997,114.818877099999990,1248.890000000000100,2016-09-15T08:54:43Z,60757.849999999999000
20372348.804494374,6475430.8063905817,60758542,114,80,09-15-16,"14:54:44,00",58.377507399999999,114.818845100000000,1248.890000000000100,2016-09-15T08:54:44Z,60758.542000000001000
20372346.634437595,6475426.5419213967,60758767,117,80,09-15-16,"14:54:45,00",58.377468510000000,114.818810400000000,1248.410000000000100,2016-09-15T08:54:45Z,60758.767000000000000
20372344.588503648,6475422.1329817474,60758410,107,80,09-15-16,"14:54:46,00",58.377428360000003,114.818777900000000,1247.930000000000100,2016-09-15T08:54:46Z,60758.410000000003000
20372342.7443593,6475417.9883564347,60757817,116,80,09-15-16,"14:54:47,00",58.377390640000002,114.818748700000000,1247.450000000000000,2016-09-15T08:54:47Z,60757.817000000003000
20372340.802796487,6475413.5481668031,60756880,124,80,09-15-16,"14:54:48,00",58.377350239999998,114.818718000000000,1247.450000000000000,2016-09-15T08:54:48Z,60756.879999999997000
20372338.884844661,6475409.2944725547,60755561,123,80,09-15-16,"14:54:49,00",58.377311519999999,114.818687600000000,1246.970000000000000,2016-09-15T08:54:49Z,60755.561000000002000
20372336.898068644,6475404.7242229534,60754097,119,80,09-15-16,"14:54:50,00",58.377269939999998,114.818656200000010,1246.490000000000000,2016-09-15T08:54:50Z,60754.097000000002000
20372335.010038037,6475400.3101653466,60752652,121,80,09-15-16,"14:54:51,00",58.377229790000001,114.818626400000000,1246.490000000000000,2016-09-15T08:54:51Z,60752.652000000002000
20372333.156413935,6475396.0543867117,60750988,121,80,09-15-16,"14:54:52,00",58.377191070000002,114.818597100000010,1246.010000000000000,2016-09-15T08:54:52Z,60750.987999999998000
20372331.246891368,6475391.5195313944,60749290,103,80,09-15-16,"14:54:53,00",58.377149830000000,114.818567000000000,1246.010000000000000,2016-09-15T08:54:53Z,60749.290000000001000
20372329.418970268,6475387.5148303667,60748008,122,80,09-15-16,"14:54:54,00",58.377113369999996,114.818538000000000,1245.530000000000000,2016-09-15T08:54:54Z,60748.008000000002000
